Continent,Region/Country,Variable,Year,Quantity
Asia,Afghanistan,Consumption,2020.0,1.0
Asia,Afghanistan,Imports,2020.0,1.0
Asia,Afghanistan,Production,2020.0,0.0
Asia,Afghanistan,Consumption,2021.0,1.0
Asia,Afghanistan,Imports,2021.0,1.0
Asia,Afghanistan,Production,2021.0,0.0
Asia,Afghanistan,Consumption,2022.0,1.0
Asia,Afghanistan,Imports,2022.0,0.0
Asia,Afghanistan,Production,2022.0,0.0
Europe,Albania,Consumption,1995.0,186.0
Europe,Albania,Exports,1995.0,0.0
Europe,Albania,Imports,1995.0,17.0
Europe,Albania,Production,1995.0,169.0
Europe,Albania,Consumption,1996.0,310.0
Europe,Albania,Exports,1996.0,0.0
Europe,Albania,Imports,1996.0,17.0
Europe,Albania,Production,1996.0,293.0
Europe,Albania,Consumption,1997.0,170.0
Europe,Albania,Exports,1997.0,0.0
Europe,Albania,Imports,1997.0,2.0
Europe,Albania,Production,1997.0,168.0
Europe,Albania,Consumption,1998.0,107.0
Europe,Albania,Exports,1998.0,0.0
Europe,Albania,Imports,1998.0,2.0
Europe,Albania,Production,1998.0,105.0
Europe,Albania,Consumption,1999.0,131.0
Europe,Albania,Exports,1999.0,0.0
Europe,Albania,Imports,1999.0,4.0
Europe,Albania,Production,1999.0,127.0
Europe,Albania,Consumption,2000.0,77.0
Europe,Albania,Exports,2000.0,0.0
Europe,Albania,Imports,2000.0,3.0
Europe,Albania,Production,2000.0,74.0
Europe,Albania,Consumption,2001.0,147.0
Europe,Albania,Exports,2001.0,0.0
Europe,Albania,Imports,2001.0,4.0
Europe,Albania,Production,2001.0,142.0
Europe,Albania,Consumption,2002.0,73.0
Europe,Albania,Exports,2002.0,0.0
Europe,Albania,Imports,2002.0,7.0
Europe,Albania,Production,2002.0,66.0
Europe,Albania,Consumption,2003.0,107.0
Europe,Albania,Exports,2003.0,0.0
Europe,Albania,Imports,2003.0,15.0
Europe,Albania,Production,2003.0,92.0
Europe,Albania,Consumption,2004.0,152.0
Europe,Albania,Exports,2004.0,0.0
Europe,Albania,Imports,2004.0,12.0
Europe,Albania,Production,2004.0,140.0
Europe,Albania,Consumption,2005.0,192.0
Europe,Albania,Exports,2005.0,0.0
Europe,Albania,Imports,2005.0,20.0
Europe,Albania,Production,2005.0,171.0
Europe,Albania,Consumption,2006.0,189.0
Europe,Albania,Exports,2006.0,0.0
Europe,Albania,Imports,2006.0,19.0
Europe,Albania,Production,2006.0,170.0
Europe,Albania,Consumption,2007.0,201.0
Europe,Albania,Exports,2007.0,0.0
Europe,Albania,Imports,2007.0,23.0
Europe,Albania,Production,2007.0,178.0
Europe,Albania,Consumption,2008.0,185.0
Europe,Albania,Exports,2008.0,0.0
Europe,Albania,Imports,2008.0,24.0
Europe,Albania,Production,2008.0,161.0
Europe,Albania,Consumption,2009.0,200.0
Europe,Albania,Exports,2009.0,0.0
Europe,Albania,Imports,2009.0,25.0
Europe,Albania,Production,2009.0,175.0
Europe,Albania,Consumption,2010.0,206.0
Europe,Albania,Exports,2010.0,0.0
Europe,Albania,Imports,2010.0,25.0
Europe,Albania,Production,2010.0,181.0
Europe,Albania,Consumption,2011.0,207.0
Europe,Albania,Exports,2011.0,0.0
Europe,Albania,Imports,2011.0,27.0
Europe,Albania,Production,2011.0,180.0
Europe,Albania,Consumption,2012.0,216.0
Europe,Albania,Exports,2012.0,0.0
Europe,Albania,Imports,2012.0,26.0
Europe,Albania,Production,2012.0,190.0
Europe,Albania,Consumption,2013.0,209.0
Europe,Albania,Exports,2013.0,0.0
Europe,Albania,Imports,2013.0,22.0
Europe,Albania,Production,2013.0,180.0
Europe,Albania,Consumption,2014.0,196.0
Europe,Albania,Exports,2014.0,0.0
Europe,Albania,Imports,2014.0,16.0
Europe,Albania,Production,2014.0,175.0
Europe,Albania,Consumption,2015.0,219.0
Europe,Albania,Exports,2015.0,0.0
Europe,Albania,Imports,2015.0,84.0
Europe,Albania,Production,2015.0,164.0
Europe,Albania,Consumption,2016.0,233.0
Europe,Albania,Exports,2016.0,0.0
Europe,Albania,Imports,2016.0,41.0
Europe,Albania,Production,2016.0,178.0
Europe,Albania,Consumption,2017.0,217.0
Europe,Albania,Exports,2017.0,0.0
Europe,Albania,Imports,2017.0,47.0
Europe,Albania,Production,2017.0,169.0
Europe,Albania,Consumption,2018.0,207.0
Europe,Albania,Exports,2018.0,0.0
Europe,Albania,Imports,2018.0,46.0
Europe,Albania,Production,2018.0,153.0
Europe,Albania,Consumption,2019.0,217.0
Europe,Albania,Exports,2019.0,0.0
Europe,Albania,Imports,2019.0,49.0
Europe,Albania,Production,2019.0,187.0
Europe,Albania,Consumption,2020.0,234.0
Europe,Albania,Exports,2020.0,0.0
Europe,Albania,Imports,2020.0,41.0
Europe,Albania,Production,2020.0,192.0
Europe,Albania,Consumption,2021.0,291.0
Europe,Albania,Exports,2021.0,0.0
Europe,Albania,Imports,2021.0,55.0
Europe,Albania,Production,2021.0,295.0
Europe,Albania,Consumption,2022.0,315.0
Europe,Albania,Exports,2022.0,0.0
Europe,Albania,Imports,2022.0,54.0
Europe,Albania,Production,2022.0,228.0
Africa,Algeria,Consumption,1995.0,243.0
Africa,Algeria,Exports,1995.0,128.0
Africa,Algeria,Imports,1995.0,1.0
Africa,Algeria,Production,1995.0,571.0
Africa,Algeria,Consumption,1996.0,250.0
Africa,Algeria,Exports,1996.0,195.0
Africa,Algeria,Imports,1996.0,0.0
Africa,Algeria,Production,1996.0,392.0
Africa,Algeria,Consumption,1997.0,195.0
Africa,Algeria,Exports,1997.0,61.0
Africa,Algeria,Imports,1997.0,0.0
Africa,Algeria,Production,1997.0,357.0
Africa,Algeria,Consumption,1998.0,200.0
Africa,Algeria,Exports,1998.0,40.0
Africa,Algeria,Imports,1998.0,0.0
Africa,Algeria,Production,1998.0,360.0
Africa,Algeria,Consumption,1999.0,247.0
Africa,Algeria,Exports,1999.0,26.0
Africa,Algeria,Imports,1999.0,55.0
Africa,Algeria,Production,1999.0,422.0
Africa,Algeria,Consumption,2000.0,225.0
Africa,Algeria,Exports,2000.0,55.0
Africa,Algeria,Imports,2000.0,3.0
Africa,Algeria,Production,2000.0,424.0
Africa,Algeria,Consumption,2001.0,203.0
Africa,Algeria,Exports,2001.0,29.0
Africa,Algeria,Imports,2001.0,8.0
Africa,Algeria,Production,2001.0,420.0
Africa,Algeria,Consumption,2002.0,320.0
Africa,Algeria,Exports,2002.0,40.0
Africa,Algeria,Imports,2002.0,61.0
Africa,Algeria,Production,2002.0,700.0
Africa,Algeria,Consumption,2003.0,220.0
Africa,Algeria,Exports,2003.0,70.0
Africa,Algeria,Imports,2003.0,79.0
Africa,Algeria,Production,2003.0,820.0
Africa,Algeria,Consumption,2004.0,350.0
Africa,Algeria,Exports,2004.0,70.0
Africa,Algeria,Imports,2004.0,0.0
Africa,Algeria,Production,2004.0,850.0
Africa,Algeria,Consumption,2005.0,350.0
Africa,Algeria,Exports,2005.0,50.0
Africa,Algeria,Imports,2005.0,3.0
Africa,Algeria,Production,2005.0,900.0
Africa,Algeria,Consumption,2006.0,350.0
Africa,Algeria,Exports,2006.0,20.0
Africa,Algeria,Imports,2006.0,9.0
Africa,Algeria,Production,2006.0,1050.0
Africa,Algeria,Consumption,2007.0,304.0
Africa,Algeria,Exports,2007.0,24.0
Africa,Algeria,Imports,2007.0,7.0
Africa,Algeria,Production,2007.0,520.0
Africa,Algeria,Consumption,2008.0,312.0
Africa,Algeria,Exports,2008.0,17.0
Africa,Algeria,Imports,2008.0,29.0
Africa,Algeria,Production,2008.0,500.0
Africa,Algeria,Consumption,2009.0,406.0
Africa,Algeria,Exports,2009.0,7.0
Africa,Algeria,Imports,2009.0,25.0
Africa,Algeria,Production,2009.0,588.0
Africa,Algeria,Consumption,2010.0,280.0
Africa,Algeria,Exports,2010.0,12.0
Africa,Algeria,Imports,2010.0,17.0
Africa,Algeria,Production,2010.0,475.0
Africa,Algeria,Consumption,2011.0,288.0
Africa,Algeria,Exports,2011.0,8.0
Africa,Algeria,Imports,2011.0,24.0
Africa,Algeria,Production,2011.0,480.0
Africa,Algeria,Consumption,2012.0,311.0
Africa,Algeria,Exports,2012.0,4.0
Africa,Algeria,Imports,2012.0,38.0
Africa,Algeria,Production,2012.0,492.0
Africa,Algeria,Consumption,2013.0,338.0
Africa,Algeria,Exports,2013.0,2.0
Africa,Algeria,Imports,2013.0,56.0
Africa,Algeria,Production,2013.0,498.0
Africa,Algeria,Consumption,2014.0,372.0
Africa,Algeria,Exports,2014.0,3.0
Africa,Algeria,Imports,2014.0,75.0
Africa,Algeria,Production,2014.0,126.0
Africa,Algeria,Consumption,2015.0,189.0
Africa,Algeria,Exports,2015.0,2.0
Africa,Algeria,Imports,2015.0,85.0
Africa,Algeria,Production,2015.0,96.0
Africa,Algeria,Consumption,2016.0,178.0
Africa,Algeria,Exports,2016.0,2.0
Africa,Algeria,Imports,2016.0,113.0
Africa,Algeria,Production,2016.0,66.0
Africa,Algeria,Consumption,2017.0,245.0
Africa,Algeria,Exports,2017.0,3.0
Africa,Algeria,Imports,2017.0,90.0
Africa,Algeria,Production,2017.0,227.0
Africa,Algeria,Consumption,2018.0,300.0
Africa,Algeria,Exports,2018.0,2.0
Africa,Algeria,Imports,2018.0,94.0
Africa,Algeria,Production,2018.0,193.0
Africa,Algeria,Consumption,2019.0,268.0
Africa,Algeria,Exports,2019.0,1.0
Africa,Algeria,Imports,2019.0,58.0
Africa,Algeria,Production,2019.0,193.0
Africa,Algeria,Consumption,2020.0,263.0
Africa,Algeria,Exports,2020.0,1.0
Africa,Algeria,Imports,2020.0,85.0
Africa,Algeria,Production,2020.0,194.0
Africa,Algeria,Consumption,2021.0,289.0
Africa,Algeria,Exports,2021.0,1.0
Africa,Algeria,Imports,2021.0,109.0
Africa,Algeria,Production,2021.0,183.0
Africa,Algeria,Consumption,2022.0,289.0
Africa,Algeria,Exports,2022.0,2.0
Africa,Algeria,Imports,2022.0,105.0
Africa,Algeria,Production,2022.0,180.0
Oceania,American Samoa,Consumption,1995.0,0.0
Oceania,American Samoa,Imports,1995.0,0.0
Oceania,American Samoa,Production,1995.0,0.0
Oceania,American Samoa,Consumption,1996.0,0.0
Oceania,American Samoa,Imports,1996.0,0.0
Oceania,American Samoa,Production,1996.0,0.0
Oceania,American Samoa,Consumption,1997.0,0.0
Oceania,American Samoa,Imports,1997.0,0.0
Oceania,American Samoa,Production,1997.0,0.0
Oceania,American Samoa,Consumption,1998.0,0.0
Oceania,American Samoa,Imports,1998.0,0.0
Oceania,American Samoa,Production,1998.0,0.0
Oceania,American Samoa,Consumption,1999.0,0.0
Oceania,American Samoa,Imports,1999.0,0.0
Oceania,American Samoa,Production,1999.0,0.0
Oceania,American Samoa,Consumption,2000.0,0.0
Oceania,American Samoa,Imports,2000.0,0.0
Oceania,American Samoa,Production,2000.0,0.0
Oceania,American Samoa,Consumption,2001.0,0.0
Oceania,American Samoa,Imports,2001.0,0.0
Oceania,American Samoa,Production,2001.0,0.0
Oceania,American Samoa,Consumption,2002.0,0.0
Oceania,American Samoa,Imports,2002.0,0.0
Oceania,American Samoa,Production,2002.0,0.0
Oceania,American Samoa,Consumption,2003.0,0.0
Oceania,American Samoa,Imports,2003.0,0.0
Oceania,American Samoa,Production,2003.0,0.0
Oceania,American Samoa,Consumption,2004.0,0.0
Oceania,American Samoa,Imports,2004.0,0.0
Oceania,American Samoa,Production,2004.0,0.0
Oceania,American Samoa,Consumption,2005.0,0.0
Oceania,American Samoa,Imports,2005.0,0.0
Oceania,American Samoa,Production,2005.0,0.0
Oceania,American Samoa,Consumption,2006.0,0.0
Oceania,American Samoa,Imports,2006.0,0.0
Oceania,American Samoa,Production,2006.0,0.0
Oceania,American Samoa,Consumption,2007.0,0.0
Oceania,American Samoa,Imports,2007.0,0.0
Oceania,American Samoa,Production,2007.0,0.0
Oceania,American Samoa,Consumption,2008.0,0.0
Oceania,American Samoa,Imports,2008.0,0.0
Oceania,American Samoa,Production,2008.0,0.0
Oceania,American Samoa,Consumption,2009.0,0.0
Oceania,American Samoa,Imports,2009.0,0.0
Oceania,American Samoa,Production,2009.0,0.0
Oceania,American Samoa,Consumption,2010.0,1.0
Oceania,American Samoa,Imports,2010.0,1.0
Oceania,American Samoa,Production,2010.0,0.0
Oceania,American Samoa,Consumption,2011.0,0.0
Oceania,American Samoa,Imports,2011.0,0.0
Oceania,American Samoa,Production,2011.0,0.0
Oceania,American Samoa,Consumption,2012.0,0.0
Oceania,American Samoa,Imports,2012.0,0.0
Oceania,American Samoa,Production,2012.0,0.0
Oceania,American Samoa,Consumption,2013.0,0.0
Oceania,American Samoa,Imports,2013.0,0.0
Oceania,American Samoa,Production,2013.0,0.0
Oceania,American Samoa,Consumption,2014.0,0.0
Oceania,American Samoa,Imports,2014.0,0.0
Oceania,American Samoa,Production,2014.0,0.0
Oceania,American Samoa,Consumption,2015.0,0.0
Oceania,American Samoa,Imports,2015.0,0.0
Oceania,American Samoa,Production,2015.0,0.0
Oceania,American Samoa,Consumption,2016.0,0.0
Oceania,American Samoa,Imports,2016.0,0.0
Oceania,American Samoa,Production,2016.0,0.0
Oceania,American Samoa,Consumption,2017.0,0.0
Oceania,American Samoa,Imports,2017.0,0.0
Oceania,American Samoa,Production,2017.0,0.0
Oceania,American Samoa,Consumption,2018.0,0.0
Oceania,American Samoa,Imports,2018.0,0.0
Oceania,American Samoa,Production,2018.0,0.0
Oceania,American Samoa,Consumption,2019.0,0.0
Oceania,American Samoa,Imports,2019.0,0.0
Oceania,American Samoa,Production,2019.0,0.0
Oceania,American Samoa,Consumption,2020.0,1.0
Oceania,American Samoa,Imports,2020.0,1.0
Oceania,American Samoa,Production,2020.0,0.0
Oceania,American Samoa,Consumption,2021.0,1.0
Oceania,American Samoa,Imports,2021.0,0.0
Oceania,American Samoa,Production,2021.0,0.0
Oceania,American Samoa,Consumption,2022.0,1.0
Oceania,American Samoa,Imports,2022.0,0.0
Oceania,American Samoa,Production,2022.0,0.0
Europe,Andorra,Production,1995.0,0.0
Europe,Andorra,Production,1996.0,0.0
Europe,Andorra,Production,1997.0,0.0
Europe,Andorra,Production,1998.0,0.0
Europe,Andorra,Production,1999.0,0.0
Europe,Andorra,Production,2000.0,0.0
Europe,Andorra,Production,2001.0,0.0
Europe,Andorra,Production,2002.0,0.0
Europe,Andorra,Production,2003.0,0.0
Europe,Andorra,Production,2004.0,0.0
Europe,Andorra,Production,2005.0,0.0
Europe,Andorra,Production,2006.0,0.0
Europe,Andorra,Production,2007.0,0.0
Europe,Andorra,Production,2008.0,0.0
Europe,Andorra,Production,2009.0,0.0
Europe,Andorra,Production,2010.0,0.0
Europe,Andorra,Production,2011.0,0.0
Europe,Andorra,Production,2012.0,0.0
Europe,Andorra,Production,2013.0,0.0
Europe,Andorra,Production,2014.0,0.0
Europe,Andorra,Production,2015.0,0.0
Europe,Andorra,Production,2016.0,0.0
Europe,Andorra,Production,2017.0,0.0
Europe,Andorra,Production,2018.0,0.0
Europe,Andorra,Production,2019.0,0.0
Europe,Andorra,Production,2020.0,0.0
Europe,Andorra,Production,2021.0,0.0
Europe,Andorra,Production,2022.0,0.0
Africa,Angola,Consumption,1995.0,255.0
Africa,Angola,Exports,1995.0,0.0
Africa,Angola,Imports,1995.0,255.0
Africa,Angola,Production,1995.0,0.0
Africa,Angola,Consumption,1996.0,270.0
Africa,Angola,Exports,1996.0,0.0
Africa,Angola,Imports,1996.0,280.0
Africa,Angola,Production,1996.0,0.0
Africa,Angola,Consumption,1997.0,460.0
Africa,Angola,Exports,1997.0,0.0
Africa,Angola,Imports,1997.0,458.0
Africa,Angola,Production,1997.0,0.0
Africa,Angola,Consumption,1998.0,530.0
Africa,Angola,Exports,1998.0,0.0
Africa,Angola,Imports,1998.0,539.0
Africa,Angola,Production,1998.0,0.0
Africa,Angola,Consumption,1999.0,236.0
Africa,Angola,Exports,1999.0,0.0
Africa,Angola,Imports,1999.0,236.0
Africa,Angola,Production,1999.0,0.0
Africa,Angola,Consumption,2000.0,248.0
Africa,Angola,Exports,2000.0,0.0
Africa,Angola,Imports,2000.0,258.0
Africa,Angola,Production,2000.0,0.0
Africa,Angola,Consumption,2001.0,378.0
Africa,Angola,Exports,2001.0,0.0
Africa,Angola,Imports,2001.0,357.0
Africa,Angola,Production,2001.0,0.0
Africa,Angola,Consumption,2002.0,398.0
Africa,Angola,Exports,2002.0,0.0
Africa,Angola,Imports,2002.0,398.0
Africa,Angola,Production,2002.0,0.0
Africa,Angola,Consumption,2003.0,497.0
Africa,Angola,Exports,2003.0,0.0
Africa,Angola,Imports,2003.0,499.0
Africa,Angola,Production,2003.0,0.0
Africa,Angola,Consumption,2004.0,579.0
Africa,Angola,Exports,2004.0,0.0
Africa,Angola,Imports,2004.0,579.0
Africa,Angola,Production,2004.0,0.0
Africa,Angola,Consumption,2005.0,782.0
Africa,Angola,Exports,2005.0,0.0
Africa,Angola,Imports,2005.0,782.0
Africa,Angola,Production,2005.0,0.0
Africa,Angola,Consumption,2006.0,964.0
Africa,Angola,Exports,2006.0,0.0
Africa,Angola,Imports,2006.0,970.0
Africa,Angola,Production,2006.0,0.0
Africa,Angola,Consumption,2007.0,1027.0
Africa,Angola,Exports,2007.0,0.0
Africa,Angola,Imports,2007.0,1028.0
Africa,Angola,Production,2007.0,0.0
Africa,Angola,Consumption,2008.0,1160.0
Africa,Angola,Exports,2008.0,0.0
Africa,Angola,Imports,2008.0,1160.0
Africa,Angola,Production,2008.0,0.0
Africa,Angola,Consumption,2009.0,798.0
Africa,Angola,Exports,2009.0,0.0
Africa,Angola,Imports,2009.0,798.0
Africa,Angola,Production,2009.0,0.0
Africa,Angola,Consumption,2010.0,868.0
Africa,Angola,Exports,2010.0,0.0
Africa,Angola,Imports,2010.0,868.0
Africa,Angola,Production,2010.0,0.0
Africa,Angola,Consumption,2011.0,908.0
Africa,Angola,Exports,2011.0,0.0
Africa,Angola,Imports,2011.0,948.0
Africa,Angola,Production,2011.0,0.0
Africa,Angola,Consumption,2012.0,990.0
Africa,Angola,Exports,2012.0,0.0
Africa,Angola,Imports,2012.0,1031.0
Africa,Angola,Production,2012.0,0.0
Africa,Angola,Consumption,2013.0,1017.0
Africa,Angola,Exports,2013.0,0.0
Africa,Angola,Imports,2013.0,1003.0
Africa,Angola,Production,2013.0,0.0
Africa,Angola,Consumption,2014.0,1344.0
Africa,Angola,Exports,2014.0,0.0
Africa,Angola,Imports,2014.0,1686.0
Africa,Angola,Production,2014.0,0.0
Africa,Angola,Consumption,2015.0,1350.0
Africa,Angola,Exports,2015.0,9.0
Africa,Angola,Imports,2015.0,1015.0
Africa,Angola,Production,2015.0,0.0
Africa,Angola,Consumption,2016.0,916.0
Africa,Angola,Exports,2016.0,23.0
Africa,Angola,Imports,2016.0,850.0
Africa,Angola,Production,2016.0,0.0
Africa,Angola,Consumption,2017.0,759.0
Africa,Angola,Exports,2017.0,9.0
Africa,Angola,Imports,2017.0,1270.0
Africa,Angola,Production,2017.0,0.0
Africa,Angola,Consumption,2018.0,549.0
Africa,Angola,Exports,2018.0,9.0
Africa,Angola,Imports,2018.0,417.0
Africa,Angola,Production,2018.0,0.0
Africa,Angola,Consumption,2019.0,362.0
Africa,Angola,Exports,2019.0,54.0
Africa,Angola,Imports,2019.0,353.0
Africa,Angola,Production,2019.0,0.0
Africa,Angola,Consumption,2020.0,317.0
Africa,Angola,Exports,2020.0,9.0
Africa,Angola,Imports,2020.0,267.0
Africa,Angola,Production,2020.0,0.0
Africa,Angola,Consumption,2021.0,317.0
Africa,Angola,Exports,2021.0,12.0
Africa,Angola,Imports,2021.0,218.0
Africa,Angola,Production,2021.0,0.0
Africa,Angola,Consumption,2022.0,317.0
Africa,Angola,Exports,2022.0,4.0
Africa,Angola,Imports,2022.0,407.0
Africa,Angola,Production,2022.0,0.0
America,Antigua and Barbuda,Consumption,1995.0,1.0
America,Antigua and Barbuda,Exports,1995.0,0.0
America,Antigua and Barbuda,Imports,1995.0,2.0
America,Antigua and Barbuda,Production,1995.0,0.0
America,Antigua and Barbuda,Consumption,1996.0,2.0
America,Antigua and Barbuda,Exports,1996.0,0.0
America,Antigua and Barbuda,Imports,1996.0,2.0
America,Antigua and Barbuda,Production,1996.0,0.0
America,Antigua and Barbuda,Consumption,1997.0,2.0
America,Antigua and Barbuda,Exports,1997.0,0.0
America,Antigua and Barbuda,Imports,1997.0,3.0
America,Antigua and Barbuda,Production,1997.0,0.0
America,Antigua and Barbuda,Consumption,1998.0,3.0
America,Antigua and Barbuda,Exports,1998.0,0.0
America,Antigua and Barbuda,Imports,1998.0,3.0
America,Antigua and Barbuda,Production,1998.0,0.0
America,Antigua and Barbuda,Consumption,1999.0,3.0
America,Antigua and Barbuda,Exports,1999.0,0.0
America,Antigua and Barbuda,Imports,1999.0,3.0
America,Antigua and Barbuda,Production,1999.0,0.0
America,Antigua and Barbuda,Consumption,2000.0,4.0
America,Antigua and Barbuda,Exports,2000.0,0.0
America,Antigua and Barbuda,Imports,2000.0,5.0
America,Antigua and Barbuda,Production,2000.0,0.0
America,Antigua and Barbuda,Consumption,2001.0,5.0
America,Antigua and Barbuda,Exports,2001.0,0.0
America,Antigua and Barbuda,Imports,2001.0,5.0
America,Antigua and Barbuda,Production,2001.0,0.0
America,Antigua and Barbuda,Consumption,2002.0,5.0
America,Antigua and Barbuda,Exports,2002.0,0.0
America,Antigua and Barbuda,Imports,2002.0,5.0
America,Antigua and Barbuda,Production,2002.0,0.0
America,Antigua and Barbuda,Consumption,2003.0,4.0
America,Antigua and Barbuda,Exports,2003.0,0.0
America,Antigua and Barbuda,Imports,2003.0,4.0
America,Antigua and Barbuda,Production,2003.0,0.0
America,Antigua and Barbuda,Consumption,2004.0,3.0
America,Antigua and Barbuda,Exports,2004.0,3.0
America,Antigua and Barbuda,Imports,2004.0,6.0
America,Antigua and Barbuda,Production,2004.0,0.0
America,Antigua and Barbuda,Consumption,2005.0,8.0
America,Antigua and Barbuda,Exports,2005.0,0.0
America,Antigua and Barbuda,Imports,2005.0,13.0
America,Antigua and Barbuda,Production,2005.0,0.0
America,Antigua and Barbuda,Consumption,2006.0,11.0
America,Antigua and Barbuda,Exports,2006.0,1.0
America,Antigua and Barbuda,Imports,2006.0,10.0
America,Antigua and Barbuda,Production,2006.0,0.0
America,Antigua and Barbuda,Consumption,2007.0,9.0
America,Antigua and Barbuda,Exports,2007.0,1.0
America,Antigua and Barbuda,Imports,2007.0,10.0
America,Antigua and Barbuda,Production,2007.0,0.0
America,Antigua and Barbuda,Consumption,2008.0,8.0
America,Antigua and Barbuda,Exports,2008.0,1.0
America,Antigua and Barbuda,Imports,2008.0,8.0
America,Antigua and Barbuda,Production,2008.0,0.0
America,Antigua and Barbuda,Consumption,2009.0,7.0
America,Antigua and Barbuda,Exports,2009.0,1.0
America,Antigua and Barbuda,Imports,2009.0,7.0
America,Antigua and Barbuda,Production,2009.0,0.0
America,Antigua and Barbuda,Consumption,2010.0,6.0
America,Antigua and Barbuda,Exports,2010.0,2.0
America,Antigua and Barbuda,Imports,2010.0,8.0
America,Antigua and Barbuda,Production,2010.0,0.0
America,Antigua and Barbuda,Consumption,2011.0,6.0
America,Antigua and Barbuda,Exports,2011.0,0.0
America,Antigua and Barbuda,Imports,2011.0,8.0
America,Antigua and Barbuda,Production,2011.0,0.0
America,Antigua and Barbuda,Consumption,2012.0,11.0
America,Antigua and Barbuda,Exports,2012.0,0.0
America,Antigua and Barbuda,Imports,2012.0,15.0
America,Antigua and Barbuda,Production,2012.0,0.0
America,Antigua and Barbuda,Consumption,2013.0,17.0
America,Antigua and Barbuda,Exports,2013.0,0.0
America,Antigua and Barbuda,Imports,2013.0,19.0
America,Antigua and Barbuda,Production,2013.0,0.0
America,Antigua and Barbuda,Consumption,2014.0,19.0
America,Antigua and Barbuda,Exports,2014.0,0.0
America,Antigua and Barbuda,Imports,2014.0,19.0
America,Antigua and Barbuda,Production,2014.0,0.0
America,Antigua and Barbuda,Consumption,2015.0,16.0
America,Antigua and Barbuda,Exports,2015.0,0.0
